,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,formation energy per atom,cluster
0,AgAlO3,Perovskite,2.18,4.63,5.1,1.82,2.4499999999999997,Ag1 Al1 O3,mp-1418444,0.0,-0.25367643458333333,4
4,AgCuO3,Perovskite,1.8,4.36,4.79,1.38,2.5600000000000005,Ag1 Cu1 O3,,,,4
6,AgGeO3,Perovskite,1.2,3.94,4.51,1.74,2.74,Ag1 Ge1 O3,mp-891880,0.0,-1.3404814619583334,4
7,AgInO3,Perovskite,1.93,4.88,5.0,1.81,2.95,Ag1 In1 O3,,,,4
11,AgNbO3,Perovskite,1.68,4.46,4.99,1.55,2.7800000000000002,Ag1 Nb1 O3,mp-557680,0.8148999999999997,-2.1508143305833336,4
23,AgScO3,Perovskite,2.13,5.07,4.96,1.82,2.9400000000000004,Ag1 Sc1 O3,mp-776150,0.36119999999999997,-2.113820559583334,4
24,AgSnO3,Perovskite,1.83,4.87,5.09,1.8,3.04,Ag1 Sn1 O3,mp-755834,0.0,-1.3526876445833331,4
28,AgTiO3,Perovskite,1.81,4.28,4.94,1.6,2.47,Ag1 Ti1 O3,,,,4
32,AgZrO3,Perovskite,2.0,4.98,4.97,1.89,2.9800000000000004,Ag1 Zr1 O3,,,,4
35,BaAgO3,Perovskite,2.26,4.88,5.23,1.39,2.62,Ba1 Ag1 O3,,,,4
39,BaCdO3,Perovskite,2.44,5.22,5.2,1.55,2.78,Ba1 Cd1 O3,mp-1183292,0.0,-1.64588256125,4
40,BaCeO3,Perovskite,2.39,5.01,5.55,1.39,2.6199999999999997,Ba1 Ce1 O3,mp-5663,2.2990000000000004,-3.5510383762500006,4
45,BaGaO3,Perovskite,2.15,4.97,4.95,1.59,2.82,Ba1 Ga1 O3,,,,4
46,BaGeO3,Perovskite,1.54,4.02,4.86,1.51,2.4799999999999995,Ba1 Ge1 O3,mp-676865,1.4290000000000003,-2.2455805815833343,4
47,BaHfO3,Perovskite,2.27,5.28,5.43,1.78,3.0100000000000002,Ba1 Hf1 O3,mp-998552,3.5394,-3.7874780272500006,4
48,BaHfO3,Perovskite,1.32,4.25,4.52,1.7,2.9299999999999997,Ba1 Hf1 O3,mp-998552,3.5394,-3.7874780272500006,4
49,BaHgO3,Perovskite,2.18,4.78,5.29,1.37,2.6,Ba1 Hg1 O3,,,,4
